"","SchoolID","SchoolName"
"651",609873,"CROWN"
"652",609874,"DIRKSEN"
"653",609875,"DARWIN"
"654",609876,"DAVIS N"
"655",609879,"DAWES"
"656",609880,"DECATUR"
"657",609883,"DENEEN"
"658",609884,"DEVER"
"659",609885,"DEWEY"
"660",609887,"DIXON"
"661",609891,"DOOLITTLE"
"662",609893,"DORE"
"663",609894,"DRAKE"
"664",609895,"TURNER-DREW"
"665",609896,"DRUMMOND"
"666",609897,"EARLE"
"667",609898,"EBERHART"
"668",609899,"EBINGER"
"669",609900,"CURTIS"
"670",609901,"EDGEBROOK"
"671",609902,"METCALFE"
"672",609903,"EDWARDS"
"673",609904,"ELLINGTON"
"674",609907,"ERICSON"
"675",609908,"ESMOND"
"676",609909,"EVERETT"
"677",609910,"FALCONER"
"678",609912,"FARNSWORTH"
"679",609917,"FERNWOOD"
"680",609918,"FIELD"
"681",609919,"FISKE"
"682",609920,"KANOON"
"683",609921,"TELPOCHCALLI"
"684",609922,"BELMONT-CRAGIN"
"685",609924,"FORT DEARBORN"
"686",609925,"KELLMAN"
"687",609926,"FRANKLIN"
"688",609927,"FOSTER PARK"
"689",609928,"FULLER"
"690",609929,"FULTON"
"691",609930,"FUNSTON"
"692",609933,"GALE"
"693",609935,"GALLISTEL"
"694",609937,"GARVY"
"695",609938,"GARY"
"696",609939,"GILLESPIE"
"697",609941,"RANDOLPH"
"698",609942,"GOETHE"
"699",609943,"OWENS"
"700",609944,"GRISSOM"
"701",609945,"GOUDY"
"702",609947,"GRAHAM ES"
"703",609949,"GRAY"
"704",609950,"ORTIZ DE DOMINGUEZ"
"705",609951,"ARIEL"
"706",609952,"GREENE"
"707",609954,"GREGORY"
"708",609955,"GRESHAM"
"709",609956,"GRIMES"
"710",609958,"GUNSAULUS"
"711",609959,"HAINES"
"712",609960,"HALE"
"713",609961,"NINOS HEROES"
"714",609963,"HAMILTON"
"715",609964,"HAMLINE"
"716",609966,"HAMMOND"
"717",609967,"FINKL"
"718",609968,"MCAULIFFE"
"719",609969,"HARTE"
"720",609971,"HARVARD"
"721",609972,"HAUGAN"
"722",609973,"ZAPATA"
"723",609974,"HAWTHORNE"
"724",609975,"HAY"
